SimTime,X_true,Y_true,Heading_true,Vx_true,Vy_true,RotVel_true,X_est,Y_est,Heading_est,Vx_est,Vy_est,Ax_est,Ay_est,x_meas,y_meas,vx_meas,vy_meas,LateralError,HeadingError,CurrentSegment,DistanceToNext,LateralControl,HeadingControl,u_psi,P_trace,K_x_gain,K_xdot_gain,K_y_gain,K_ydot_gain,Q_std,R_pos_std,R_vel_std,P_xx,P_xy,P_yx,P_yy
9.556,0.359,2.343,94.6755,-0.0287334,0.351327,9,0.372578,2.46382,96.4658,-0.0379566,0.334916,-0.138293,-0.0438123,0.466163,2.87971,-0.0566328,0.34543,0.372578,-6.46585,0,0.652918,2.66699,-10.0972,-7.43017,0.102108,0.0230176,0.622709,0.0230176,0.622709,0.2,0.25,0.05,0.0014386,0,0,0.0014386
9.674,0.355,2.38,94.6755,-0.0302006,0.369267,-2,0.362547,2.51624,92.2373,-0.0133496,0.341694,0.0289915,-0.00597066,-0.0633693,3.02045,0.0130755,0.346172,0.362547,-2.23735,0,0.604533,2.54913,1.21151,3.76064,0.10123,0.0230197,0.627847,0.0230197,0.627847,0.2,0.25,0.05,0.00143873,0,0,0.00143873
9.789,0.352,2.415,93.7113,-0.0225578,0.347769,-7,0.35565,2.57361,94.0158,-0.0274016,0.390309,-0.0365775,0.178171,0.212227,3.08269,-0.0371654,0.417471,0.35565,-4.01585,0,0.555241,2.5175,-5.00613,-2.48862,0.102059,0.0230023,0.623182,0.0230023,0.623182,0.2,0.25,0.05,0.00143764,0,0,0.00143764
9.906,0.349,2.452,94.6755,-0.0303636,0.37126,4,0.368945,2.60727,93.8604,-0.0249727,0.370079,-0.022352,0.0234318,1.05602,2.2633,-0.024501,0.347347,0.368945,-3.86042,0,0.538848,2.73822,-3.35483,-0.61661,0.101638,0.022998,0.626139,0.022998,0.626139,0.2,0.25,0.05,0.00143738,0,0,0.00143738
10.056,0.346,2.489,94.6755,-0.0300376,0.367274,-2,0.363928,2.65595,98.4449,-0.0536951,0.361661,-0.115162,-0.0154335,0.470345,2.42167,-0.0660701,0.357408,0.363928,-8.44489,0,0.500814,2.5962,-10.3511,-7.75488,0.0873871,0.0232368,0.682402,0.0232368,0.682402,0.2,0.25,0.05,0.0014523,0,0,0.0014523
10.165,0.343,2.525,94.6755,-0.029467,0.360297,-1,0.362582,2.69856,98.6234,-0.0518684,0.342019,-0.0640357,-0.0868571,0.499932,2.94695,-0.0436392,0.329409,0.362582,-8.62342,1,0.471518,2.6017,-7.90848,-5.30678,0.0986827,0.0231878,0.61498,0.0231878,0.61498,0.2,0.25,0.05,0.00144924,0,0,0.00144924
10.282,0.34,2.559,93.7113,-0.0223637,0.344775,-8,0.351148,2.73759,100.995,-0.0700603,0.360593,-0.102973,0.028541,0.200526,2.55738,-0.075849,0.379236,0.26241,-100.995,1,2.66182,1.27292,-161.951,-100,0.102237,0.023191,0.618727,0.023191,0.618727,0.2,0.25,0.05,0.00144944,0,0,0.00144944
10.402,0.338,2.594,92.747,-0.0165582,0.345103,-5,0.339072,2.77287,104.305,-0.0870462,0.341374,-0.119192,-0.0555563,0.239214,2.54672,-0.0892447,0.329267,0.227133,-104.305,1,2.6706,1.4237,-96.3567,-94.933,0.100716,0.0232075,0.630156,0.0232075,0.630156,0.2,0.25,0.05,0.00145047,0,0,0.00145047
10.516,0.336,2.625,91.695,-0.00912523,0.308365,-17,0.330359,2.79642,97.6448,-0.0414231,0.308611,0.116962,-0.150115,0.0914798,2.29773,-0.00418989,0.295081,0.203582,-97.6448,1,2.67739,1.31704,-82.6224,-81.3053,0.10228,0.0231788,0.621556,0.0231788,0.621556,0.2,0.25,0.05,0.00144868,0,0,0.00144868
10.634,0.335,2.653,88.7145,0.00622556,0.27743,-28,0.33033,2.82682,91.7868,-0.00728,0.233364,0.195378,-0.376804,0.392726,2.92797,0.00445865,0.19875,0.173178,-91.7868,1,2.67528,1.06137,-78.1402,-77.0788,0.101366,0.0231736,0.627616,0.0231736,0.627616,0.2,0.25,0.05,0.00144835,0,0,0.00144835
10.744,0.336,2.681,84.7697,0.0261172,0.285307,-40,0.341286,2.86198,85.5214,0.0175293,0.223799,0.200828,-0.256258,0.77774,3.19438,0.0174071,0.242146,0.138024,-85.5214,1,2.66229,0.763671,-71.843,-71.0793,0.104429,0.0231142,0.613959,0.0231142,0.613959,0.2,0.25,0.05,0.00144464,0,0,0.00144464
10.861,0.339,2.711,79.7729,0.0528211,0.292773,-43,0.347557,2.90218,76.4923,0.060735,0.25283,0.278473,-0.0292024,0.36301,3.26056,0.072441,0.286307,0.0978177,-76.4923,1,2.65425,0.456866,-61.8977,-61.4408,0.102693,0.0230991,0.625577,0.0230991,0.625577,0.2,0.25,0.05,0.00144369,0,0,0.00144369
10.979,0.344,2.741,75.7404,0.0762345,0.299964,-43,0.366189,2.93957,56.3603,0.191042,0.287109,0.661146,0.11592,0.240198,3.06583,0.248955,0.308634,0.0604333,-56.3603,1,2.6345,0.207012,-35.3693,-35.1623,0.101011,0.0230936,0.629589,0.0230936,0.629589,0.2,0.25,0.05,0.00144335,0,0,0.00144335
11.079,0.352,2.773,71.7956,0.101376,0.308258,-43,0.367278,2.95515,63.1195,0.150092,0.296097,0.23357,0.115571,0.0261017,2.3769,0.0790432,0.297228,0.0448481,-63.1195,1,2.6331,0.210692,-62.8909,-62.6802,0.108976,0.0229709,0.595166,0.0229709,0.595166,0.2,0.25,0.05,0.00143568,0,0,0.00143568
11.182,0.362,2.805,67.7631,0.127722,0.312399,-35,0.382047,2.96848,52.6779,0.187119,0.245432,0.290407,-0.137976,0.230406,2.52451,0.196611,0.205315,0.0315234,-52.6779,1,2.61814,0.133825,-38.2864,-38.1525,0.11188,0.0228638,0.596655,0.0228638,0.596655,0.2,0.25,0.05,0.00142899,0,0,0.00142899
11.291,0.375,2.837,63.8183,0.151559,0.308257,-43,0.399634,2.98674,53.377,0.174533,0.234812,0.106736,-0.11361,0.432619,2.6298,0.146416,0.239313,0.0132624,-53.377,1,2.6004,-0.025133,-48.6166,-48.6417,0.1089,0.0227924,0.612537,0.0227924,0.612537,0.2,0.25,0.05,0.00142452,0,0,0.00142452
11.409,0.39,2.868,59.7859,0.175377,0.301156,-38,0.416382,3.01131,54.3416,0.167789,0.233861,0.0312767,-0.0611974,0.320508,2.84204,0.157024,0.241936,-0.0113141,-54.3416,1,2.58364,-0.23142,-49.6431,-49.8745,0.102638,0.0227835,0.632214,0.0227835,0.632214,0.2,0.25,0.05,0.00142397,0,0,0.00142397
11.527,0.408,2.899,55.841,0.199048,0.293343,-43,0.451385,3.05195,52.3643,0.23632,0.306472,0.278761,0.247132,0.741739,3.1917,0.272551,0.352201,-0.0519485,-52.3643,1,2.54914,-0.621968,-45.6198,-46.2417,0.100367,0.0227863,0.631929,0.0227863,0.631929,0.2,0.25,0.05,0.00142414,0,0,0.00142414
11.651,0.428,2.928,51.8086,0.219802,0.279405,-43,0.476543,3.08439,54.3171,0.20979,0.292137,0.0443301,0.0766401,0.555512,3.01881,0.175014,0.267192,-0.0843857,-54.3171,1,2.52487,-0.795923,-50.3028,-51.0987,0.0975742,0.0228394,0.639785,0.0228394,0.639785,0.2,0.25,0.05,0.00142746,0,0,0.00142746
11.764,0.449,2.955,46.8118,0.233037,0.248262,-43,0.510704,3.11616,48.005,0.238572,0.265007,0.131119,-0.0644282,0.81721,3.24767,0.251536,0.242351,-0.116164,-48.005,1,2.492,-1.03886,-38.1771,-39.216,0.101557,0.0228219,0.619476,0.0228219,0.619476,0.2,0.25,0.05,0.00142637,0,0,0.00142637
11.868,0.472,2.98,42.867,0.241502,0.224158,-43,0.535999,3.13088,32.8485,0.251667,0.16249,0.129057,-0.45124,0.529126,3.11854,0.251341,0.0986416,-0.130883,-32.8485,1,2.46747,-1.04427,-16.4475,-17.4918,0.108076,0.0227416,0.599643,0.0227416,0.599643,0.2,0.25,0.05,0.00142135,0,0,0.00142135
11.986,0.495,3.002,38.8345,0.24732,0.199096,-39,0.562952,3.143,29.2485,0.268672,0.150454,0.13913,-0.27926,0.394098,2.7468,0.270574,0.176977,-0.142997,-29.2485,1,2.44124,-1.10349,-23.5778,-24.6813,0.103822,0.0227476,0.626498,0.0227476,0.626498,0.2,0.25,0.05,0.00142172,0,0,0.00142172
12.104,0.52,3.022,35.854,0.267874,0.193581,-27,0.592981,3.16196,22.08,0.276945,0.112343,0.108469,-0.30231,0.522675,3.32854,0.272551,0.108487,-0.161962,-22.08,1,2.41246,-1.28185,-14.4045,-15.6863,0.100965,0.0227564,0.631315,0.0227564,0.631315,0.2,0.25,0.05,0.00142227,0,0,0.00142227
12.212,0.549,3.043,33.8377,0.287809,0.192946,-25,0.638273,3.17761,36.2346,0.269204,0.197277,0.0180408,0.172198,1.39232,2.75552,0.253012,0.274154,-0.177612,-36.2346,1,2.3684,-1.38314,-44.4066,-45.7897,0.104935,0.0227008,0.611165,0.0227008,0.611165,0.2,0.25,0.05,0.0014188,0,0,0.0014188
12.331,0.58,3.064,31.9092,0.320455,0.199537,-16,0.67821,3.19082,31.1324,0.345611,0.208753,0.312172,0.144458,0.605508,2.73811,0.389755,0.205739,-0.190822,-31.1324,1,2.32962,-1.45385,-24.1604,-25.6143,0.102017,0.0227168,0.628894,0.0227168,0.628894,0.2,0.25,0.05,0.0014198,0,0,0.0014198
12.447,0.609,3.082,29.8929,0.296066,0.170197,-28,0.708489,3.21076,31.1814,0.329915,0.199657,0.113085,0.044783,0.478576,3.12633,0.300168,0.184687,-0.210763,-31.1814,1,2.30118,-1.64127,-28.1012,-29.7425,0.101529,0.0227165,0.626386,0.0227165,0.626386,0.2,0.25,0.05,0.00141978,0,0,0.00141978
12.563,0.636,3.098,25.8604,0.276707,0.134126,-40,0.72835,3.23104,36.6677,0.254379,0.189385,-0.227876,-0.0148193,0.389004,3.17861,0.202966,0.180381,-0.231035,-36.6677,1,2.28337,-1.78928,-37.2576,-39.0469,0.101727,0.0227177,0.624883,0.0227177,0.624883,0.2,0.25,0.05,0.00141986,0,0,0.00141986
12.664,0.664,3.111,22.8799,0.284228,0.119945,-30,0.73945,3.25021,23.8556,0.234563,0.103727,-0.204114,-0.364711,0.131922,3.72006,0.23978,0.0444082,-0.250214,-23.8556,1,2.27436,-1.93826,-10.0534,-11.9916,0.108999,0.022619,0.596166,0.022619,0.596166,0.2,0.25,0.05,0.00141369,0,0,0.00141369
